EMP_ID,EMP_NM,EMAIL,HIRE_DT,JOB_TITLE,SALARY,DEPARTMENT,MANAGER,START_DT,END_DT,LOCATION,ADDRESS,CITY,STATE,EDUCATION LEVEL
E74296,Krishna Burli,Krishna.Burli@TechCorp.com,12/19/16,Administrative Assistant,47909,Product Development,Conner Kinch,12/19/16,,South,422 Broadway,Nashville,TN,Some College
E77317,Kathy Abiskaroon,Kathy.Abiskaroon@TechCorp.com,5/20/15,Administrative Assistant,34693,Product Development,Conner Kinch,5/20/15,,South,422 Broadway,Nashville,TN,Associates Degree
E91791,Aaron Richman,Aaron.Richman@TechCorp.com,6/2/17,Administrative Assistant,29593,Product Development,Conner Kinch,6/2/17,,East Coast,165 Broadway,New York City,NY,Associates Degree
E94358,Muhammed Rubel,Muhammed.Rubel@TechCorp.com,7/8/07,Administrative Assistant,48239,Product Development,Conner Kinch,7/8/07,,HQ,1 Tech ABC Corp Way,Dallas,TX,Associates Degree
E34496,Tony Hughes,Tony.Hughes@TechCorp.com,1/27/09,Administrative Assistant,31405,Sales,Jennifer De La Garza,1/27/09,,HQ,1 Tech ABC Corp Way,Dallas,TX,Associates Degree
E87219,Jorge Moscoso,Jorge.Moscoso@TechCorp.com,9/20/17,Administrative Assistant,34826,Sales,Jennifer De La Garza,9/20/17,,South,422 Broadway,Nashville,TN,No College
E89540,Amit Hardiya,Amit.Hardiya@TechCorp.com,6/1/17,Administrative Assistant,38176,Sales,Jennifer De La Garza,6/1/17,,East Coast,165 Broadway,New York City,NY,No College
E13160,Eric  Baxter,Eric .Baxter@TechCorp.com,10/6/08,Database Administrator,102614,IT,Jacob Lauber,10/6/08,,HQ,1 Tech ABC Corp Way,Dallas,TX,Associates Degree
E16678,Abby Lockhart,Abby.Lockhart@TechCorp.com,11/25/05,Database Administrator,84297,IT,Jacob Lauber,11/25/05,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E27498,Toni Lembeck,Toni.Lembeck@TechCorp.com,7/18/01,Database Administrator,78206,IT,Jacob Lauber,7/18/01,,South,422 Broadway,Nashville,TN,Bachelors Degree
E37246,Paulius Mikalainis,Paulius.Mikalainis@TechCorp.com,10/23/13,Database Administrator,103370,IT,Jacob Lauber,10/23/13,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E49025,Mark Fiore,Mark.Fiore@TechCorp.com,6/9/05,Database Administrator,111308,IT,Jacob Lauber,6/9/05,,Midwest,1300 Nicollet Mall,Minnapolis,MN,Bachelors Degree
E76443,Thanuja Polani,Thanuja.Polani@TechCorp.com,2/16/20,Database Administrator,114582,IT,Jacob Lauber,2/16/20,,South,422 Broadway,Nashville,TN,Masters Degree
E86828,Philip Barnett,Philip.Barnett@TechCorp.com,9/29/11,Database Administrator,116831,IT,Jacob Lauber,9/29/11,,West Coast,705 James Way,San Francisco,CA,Masters Degree
E98891,Doris Venama,Doris.Venama@TechCorp.com,9/30/17,Database Administrator,110704,IT,Jacob Lauber,9/30/17,,HQ,1 Tech ABC Corp Way,Dallas,TX,Masters Degree
E34500,Kathy Fedder,Kathy.Fedder@TechCorp.com,1/17/97,Design Engineer,113744,IT,Jacob Lauber,1/17/97,,South,422 Broadway,Nashville,TN,Bachelors Degree
E41635,James Aryeetey,James.Aryeetey@TechCorp.com,3/26/05,Design Engineer,134237,IT,Jacob Lauber,3/26/05,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E51619,Tom Meola,Tom.Meola@TechCorp.com,10/5/11,Design Engineer,122334,IT,Jacob Lauber,10/5/11,,Midwest,1300 Nicollet Mall,Minnapolis,MN,Bachelors Degree
E98270,Jeff Barnhill,Jeff.Barnhill@TechCorp.com,12/24/97,Design Engineer,99218,IT,Jacob Lauber,12/24/97,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E25710,Brent Robinson,Brent.Robinson@TechCorp.com,8/14/05,Design Engineer,77155,Product Development,Conner Kinch,8/14/05,,West Coast,705 James Way,San Francisco,CA,Masters Degree
E41712,Elaine Podwika,Elaine.Podwika@TechCorp.com,1/6/12,Design Engineer,87465,Product Development,Conner Kinch,1/6/12,,East Coast,165 Broadway,New York City,NY,Masters Degree
E42522,Fiona Morris,Fiona.Morris@TechCorp.com,5/26/07,Design Engineer,79694,Product Development,Conner Kinch,5/26/07,,East Coast,165 Broadway,New York City,NY,Masters Degree
E45758,Walter Waddler,Walter.Waddler@TechCorp.com,12/19/17,Design Engineer,144623,Product Development,Conner Kinch,12/19/17,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E48637,Joey Fulkerson,Joey.Fulkerson@TechCorp.com,9/26/99,Design Engineer,140231,Product Development,Conner Kinch,9/26/99,,East Coast,165 Broadway,New York City,NY,Masters Degree
E60752,Michael Tholstrup,Michael.Tholstrup@TechCorp.com,2/27/10,Design Engineer,138695,Product Development,Conner Kinch,2/27/10,,Midwest,1300 Nicollet Mall,Minnapolis,MN,Masters Degree
E77658,Hitesh Bhatt,Hitesh.Bhatt@TechCorp.com,3/15/12,Design Engineer,113702,Product Development,Conner Kinch,3/15/12,,West Coast,705 James Way,San Francisco,CA,Masters Degree
E85476,Shawn Reynolds,Shawn.Reynolds@TechCorp.com,7/22/03,Design Engineer,71982,Product Development,Conner Kinch,7/22/03,,East Coast,165 Broadway,New York City,NY,Doctorate
E38677,Michael Scilla,Michael.Scilla@TechCorp.com,4/17/14,Legal Counsel,201404,Distribution,Allison Gentle,4/17/14,,East Coast,165 Broadway,New York City,NY,Doctorate
E45736,John Perez,John.Perez@TechCorp.com,4/4/15,Legal Counsel,156298,Distribution,Allison Gentle,4/4/15,,East Coast,165 Broadway,New York City,NY,Doctorate
E56144,Cassidy Clayton,Cassidy.Clayton@TechCorp.com,1/28/13,Legal Counsel,169184,Distribution,Allison Gentle,1/28/13,,West Coast,705 James Way,San Francisco,CA,Doctorate
E33486,Stephen Colluci,Stephen.Colluci@TechCorp.com,8/2/00,Legal Counsel,153296,HQ,Tyrone Hutchison,8/2/00,,HQ,1 Tech ABC Corp Way,Dallas,TX,Doctorate
E38634,Zach Bratkovich,Zach.Bratkovich@TechCorp.com,11/22/14,Legal Counsel,144638,HQ,Tyrone Hutchison,11/22/14,,HQ,1 Tech ABC Corp Way,Dallas,TX,Doctorate
E53406,Janice Mayzlik,Janice.Mayzlik@TechCorp.com,10/25/01,Legal Counsel,81812,HQ,Tyrone Hutchison,10/25/01,,HQ,1 Tech ABC Corp Way,Dallas,TX,Masters Degree
E75081,Dennis Fredrich,Dennis.Fredrich@TechCorp.com,10/8/08,Legal Counsel,132436,HQ,Tyrone Hutchison,10/8/08,,HQ,1 Tech ABC Corp Way,Dallas,TX,Masters Degree
E79464,Anu Patel,Anu.Patel@TechCorp.com,5/1/99,Legal Counsel,177673,HQ,Tyrone Hutchison,5/1/99,,HQ,1 Tech ABC Corp Way,Dallas,TX,Masters Degree
E96856,Tom Wilson,Tom.Wilson@TechCorp.com,11/27/17,Legal Counsel,127669,HQ,Tyrone Hutchison,11/27/17,,HQ,1 Tech ABC Corp Way,Dallas,TX,Masters Degree
E47655,Cody Holland,Cody.Holland@TechCorp.com,11/27/97,Legal Counsel,207651,IT,Jacob Lauber,11/27/97,,East Coast,165 Broadway,New York City,NY,Doctorate
E87210,Gary Boyd,Gary.Boyd@TechCorp.com,4/18/14,Legal Counsel,176207,IT,Jacob Lauber,4/18/14,,Midwest,1300 Nicollet Mall,Minnapolis,MN,Doctorate
E95214,Faheem Ahmed,Faheem.Ahmed@TechCorp.com,9/22/19,Legal Counsel,93400,IT,Jacob Lauber,9/22/19,,South,422 Broadway,Nashville,TN,Doctorate
E21696,Mallory Russo,Mallory.Russo@TechCorp.com,12/6/97,Legal Counsel,167887,Product Development,Conner Kinch,12/6/97,,East Coast,165 Broadway,New York City,NY,Masters Degree
E60929,Tanya Maheshwari,Tanya.Maheshwari@TechCorp.com,7/3/13,Legal Counsel,195992,Product Development,Conner Kinch,7/3/13,,Midwest,1300 Nicollet Mall,Minnapolis,MN,Masters Degree
E76053,Darryl Reamer,Darryl.Reamer@TechCorp.com,8/23/98,Legal Counsel,83548,Product Development,Conner Kinch,8/23/98,,South,422 Broadway,Nashville,TN,Doctorate
E43694,Benyam Gizaw,Benyam.Gizaw@TechCorp.com,10/28/16,Legal Counsel,159035,Sales,Jennifer De La Garza,10/28/16,,West Coast,705 James Way,San Francisco,CA,Doctorate
E71792,Jesse Curiel,Jesse.Curiel@TechCorp.com,3/30/14,Legal Counsel,123496,Sales,Jennifer De La Garza,3/30/14,,Midwest,1300 Nicollet Mall,Minnapolis,MN,Doctorate
E93629,Tracy Emerson,Tracy.Emerson@TechCorp.com,7/22/13,Legal Counsel,183807,Sales,Jennifer De La Garza,7/22/13,,East Coast,165 Broadway,New York City,NY,Doctorate
E63041,Allison Gentle,Allison.Gentle@TechCorp.com,8/22/95,Manager,"176,000",Distribution,Tyrone Hutchison,8/22/95,,West Coast,705 James Way,San Francisco,CA,Masters of Business Administration
E44426,Jacob Lauber,Jacob.Lauber@TechCorp.com,5/2/07,Manager,"205,000",IT,Tyrone Hutchison,5/2/07,,East Coast,165 Broadway,New York City,NY,Masters of Business Administration
E77884,Conner Kinch,Conner.Kinch@TechCorp.com,12/9/02,Manager,"187,000",Product Development,Tyrone Hutchison,12/9/02,,West Coast,705 James Way,San Francisco,CA,Masters of Business Administration
E88667,Jennifer De La Garza,Jennifer.De La Garza@TechCorp.com,12/21/95,Manager,"210,000",Sales,Tyrone Hutchison,12/21/95,,West Coast,705 James Way,San Francisco,CA,Masters Degree
E22197,Oliver Jia,Oliver.Jia@TechCorp.com,9/22/13,Network Engineer,89618,IT,Jacob Lauber,9/22/13,,HQ,1 Tech ABC Corp Way,Dallas,TX,Masters Degree
E24100,Zondra Peck,Zondra.Peck@TechCorp.com,3/6/97,Network Engineer,98994,IT,Jacob Lauber,3/6/97,,Midwest,1300 Nicollet Mall,Minnapolis,MN,Masters Degree
E26874,Tiffany Harrington,Tiffany.Harrington@TechCorp.com,6/27/15,Network Engineer,45412,IT,Jacob Lauber,6/27/15,,South,422 Broadway,Nashville,TN,Masters Degree
E34748,Holly Smith,Holly.Smith@TechCorp.com,4/28/11,Network Engineer,71942,IT,Jacob Lauber,4/28/11,,South,422 Broadway,Nashville,TN,Bachelors Degree
E36960,Ken Beer,Ken.Beer@TechCorp.com,4/26/08,Network Engineer,101294,IT,Jacob Lauber,4/26/08,,West Coast,705 James Way,San Francisco,CA,Bachelors Degree
E48884,Stacey Lewis,Stacey.Lewis@TechCorp.com,6/1/08,Network Engineer,103714,IT,Jacob Lauber,6/1/08,,Midwest,1300 Nicollet Mall,Minnapolis,MN,Bachelors Degree
E62527,Barry Walsh,Barry.Walsh@TechCorp.com,6/15/06,Network Engineer,49816,IT,Jacob Lauber,6/15/06,,Midwest,1300 Nicollet Mall,Minnapolis,MN,Bachelors Degree
E62634,Karen Lafler,Karen.Lafler@TechCorp.com,8/19/14,Network Engineer,65515,IT,Jacob Lauber,8/19/14,,South,422 Broadway,Nashville,TN,Associates Degree
E67793,Fausto Recalde,Fausto.Recalde@TechCorp.com,6/7/18,Network Engineer,52924,IT,Jacob Lauber,6/7/18,,South,422 Broadway,Nashville,TN,Bachelors Degree
E79552,Angela Masdary,Angela.Masdary@TechCorp.com,2/5/08,Network Engineer,84625,IT,Jacob Lauber,2/5/08,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E81369,Kevin Soltis,Kevin.Soltis@TechCorp.com,5/29/19,Network Engineer,93362,IT,Jacob Lauber,5/29/19,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E83512,Tim Lawler,Tim.Lawler@TechCorp.com,10/22/96,Network Engineer,103110,IT,Jacob Lauber,10/22/96,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E91075,Micah Vass,Micah.Vass@TechCorp.com,12/15/19,Network Engineer,68127,IT,Jacob Lauber,12/15/19,,South,422 Broadway,Nashville,TN,Associates Degree
E11678,Colleen Alma,Colleen.Alma@TechCorp.com,12/26/01,Network Engineer,76913,Product Development,Conner Kinch,12/26/01,,HQ,1 Tech ABC Corp Way,Dallas,TX,Associates Degree
E12397,Daniel Matkovic,Daniel.Matkovic@TechCorp.com,11/17/13,Network Engineer,71846,Product Development,Conner Kinch,11/17/13,,HQ,1 Tech ABC Corp Way,Dallas,TX,Associates Degree
E14913,Aaron Gordon ,Aaron.Gordon @TechCorp.com,7/15/98,Network Engineer,103166,Product Development,Conner Kinch,7/15/98,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E23669,Karen Brown,Karen.Brown@TechCorp.com,4/23/17,Network Engineer,77370,Product Development,Conner Kinch,4/23/17,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E30317,Siena Spitzer,Siena.Spitzer@TechCorp.com,1/3/19,Network Engineer,66952,Product Development,Conner Kinch,1/3/19,,South,422 Broadway,Nashville,TN,Bachelors Degree
E47926,Janice Canterbury,Janice.Canterbury@TechCorp.com,5/31/08,Network Engineer,85880,Product Development,Conner Kinch,5/31/08,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E66477,Dakeem Coleman,Dakeem.Coleman@TechCorp.com,5/8/18,Network Engineer,86055,Product Development,Conner Kinch,5/8/18,,Midwest,1300 Nicollet Mall,Minnapolis,MN,Masters Degree
E80744,Ginger Logan,Ginger.Logan@TechCorp.com,1/9/20,Network Engineer,96416,Product Development,Conner Kinch,1/9/20,,West Coast,705 James Way,San Francisco,CA,Masters Degree
E17054,Tyrone Hutchison,Tyrone.Hutchison@TechCorp.com,9/7/06,President,"540,000",HQ,#N/A,9/7/06,,HQ,1 Tech ABC Corp Way,Dallas,TX,Masters of Business Administration
E10407,Darshan Rathod,Darshan.Rathod@TechCorp.com,10/8/18,Sales Rep,180692,Product Development,Conner Kinch,10/8/18,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E13596,Kenneth Dewitt,Kenneth.Dewitt@TechCorp.com,4/9/12,Sales Rep,180913,Product Development,Conner Kinch,4/9/12,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E16995,Wilson Martinez,Wilson.Martinez@TechCorp.com,2/28/01,Sales Rep,130161,Product Development,Conner Kinch,2/28/01,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E22680,Cassidy Bancroft,Cassidy.Bancroft@TechCorp.com,10/26/13,Sales Rep,196637,Product Development,Conner Kinch,10/26/13,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E23429,Andrew Yoon,Andrew.Yoon@TechCorp.com,11/14/18,Sales Rep,114616,Product Development,Conner Kinch,11/14/18,,East Coast,165 Broadway,New York City,NY,Associates Degree
E25662,Doug Tomson,Doug.Tomson@TechCorp.com,6/22/95,Sales Rep,188080,Product Development,Conner Kinch,6/22/95,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E28092,Tuan Yang,Tuan.Yang@TechCorp.com,11/1/08,Sales Rep,174651,Product Development,Conner Kinch,11/1/08,,West Coast,705 James Way,San Francisco,CA,Bachelors Degree
E28638,Marie Dumadara,Marie.Dumadara@TechCorp.com,6/2/04,Sales Rep,123909,Product Development,Conner Kinch,6/2/04,,Midwest,1300 Nicollet Mall,Minnapolis,MN,Bachelors Degree
E30058,Bertin Dakouo,Bertin.Dakouo@TechCorp.com,9/24/13,Sales Rep,81047,Product Development,Conner Kinch,9/24/13,,Midwest,1300 Nicollet Mall,Minnapolis,MN,Bachelors Degree
E30678,Jody Hopkins,Jody.Hopkins@TechCorp.com,5/2/20,Sales Rep,91389,Product Development,Conner Kinch,5/2/20,,South,422 Broadway,Nashville,TN,Masters Degree
E31241,Laura House,Laura.House@TechCorp.com,5/10/14,Sales Rep,157102,Product Development,Conner Kinch,5/10/14,,South,422 Broadway,Nashville,TN,Associates Degree
E32058,Curtis Gibson,Curtis.Gibson@TechCorp.com,1/19/09,Sales Rep,140534,Product Development,Conner Kinch,1/19/09,,South,422 Broadway,Nashville,TN,Bachelors Degree
E34816,Roseann Martineeti,Roseann.Martineeti@TechCorp.com,8/1/00,Sales Rep,82192,Product Development,Conner Kinch,8/1/00,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E35860,Vivian Kovach,Vivian.Kovach@TechCorp.com,8/18/99,Sales Rep,125831,Product Development,Conner Kinch,8/18/99,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E39652,Kyle Guilmartin,Kyle.Guilmartin@TechCorp.com,8/11/12,Sales Rep,71867,Product Development,Conner Kinch,8/11/12,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E42681,James Henderson,James.Henderson@TechCorp.com,4/9/96,Sales Rep,101469,Product Development,Conner Kinch,4/9/96,,East Coast,165 Broadway,New York City,NY,Masters Degree
E46366,Johnathan Wayman,Johnathan.Wayman@TechCorp.com,10/16/04,Sales Rep,133564,Product Development,Conner Kinch,10/16/04,,East Coast,165 Broadway,New York City,NY,Associates Degree
E49798,Greg Stirton,Greg.Stirton@TechCorp.com,1/9/98,Sales Rep,79408,Product Development,Conner Kinch,1/9/98,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E54196,Phil  Wisneski,Phil .Wisneski@TechCorp.com,12/18/04,Sales Rep,156344,Product Development,Conner Kinch,12/18/04,,West Coast,705 James Way,San Francisco,CA,Bachelors Degree
E57502,Frank Debanco,Frank.Debanco@TechCorp.com,7/21/16,Sales Rep,162790,Product Development,Conner Kinch,7/21/16,,West Coast,705 James Way,San Francisco,CA,Bachelors Degree
E63930,Sonali Baidya,Sonali.Baidya@TechCorp.com,2/25/09,Sales Rep,125439,Product Development,Conner Kinch,2/25/09,,Midwest,1300 Nicollet Mall,Minnapolis,MN,Bachelors Degree
E67190,Nathan Hile ,Nathan.Hile @TechCorp.com,7/24/07,Sales Rep,86624,Product Development,Conner Kinch,7/24/07,,South,422 Broadway,Nashville,TN,Masters Degree
E87073,Yuesef Hosni,Yuesef.Hosni@TechCorp.com,1/2/07,Sales Rep,146429,Product Development,Conner Kinch,1/2/07,,East Coast,165 Broadway,New York City,NY,Associates Degree
E91182,Nick Gowen,Nick.Gowen@TechCorp.com,5/18/13,Sales Rep,96015,Product Development,Conner Kinch,5/18/13,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E93734,Melissa DeMaio,Melissa.DeMaio@TechCorp.com,6/21/05,Sales Rep,111114,Product Development,Conner Kinch,6/21/05,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E93871,Travis Black,Travis.Black@TechCorp.com,4/30/02,Sales Rep,88910,Product Development,Conner Kinch,4/30/02,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E94387,Erica Davis,Erica.Davis@TechCorp.com,7/25/03,Sales Rep,191995,Product Development,Conner Kinch,7/25/03,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E95199,Carlos Fernandes,Carlos.Fernandes@TechCorp.com,1/9/17,Sales Rep,153889,Product Development,Conner Kinch,1/9/17,,HQ,1 Tech ABC Corp Way,Dallas,TX,Masters Degree
E97273,Justin Hayes,Justin.Hayes@TechCorp.com,6/5/04,Sales Rep,137555,Product Development,Conner Kinch,6/5/04,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E11920,Sharon Gillies,Sharon.Gillies@TechCorp.com,6/19/06,Sales Rep,115719,Sales,Jennifer De La Garza,6/19/06,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E16276,Analyn Braza,Analyn.Braza@TechCorp.com,3/7/96,Sales Rep,208554,Sales,Jennifer De La Garza,3/7/96,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E17372,Greg Pratt,Greg.Pratt@TechCorp.com,6/8/09,Sales Rep,170741,Sales,Jennifer De La Garza,6/8/09,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E20101,Zoey Bulter,Zoey.Bulter@TechCorp.com,12/3/12,Sales Rep,157172,Sales,Jennifer De La Garza,12/3/12,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E22785,Tami Smith,Tami.Smith@TechCorp.com,12/8/97,Sales Rep,83535,Sales,Jennifer De La Garza,12/8/97,,HQ,1 Tech ABC Corp Way,Dallas,TX,Masters Degree
E24539,Grace Messinger,Grace.Messinger@TechCorp.com,12/12/04,Sales Rep,173443,Sales,Jennifer De La Garza,12/12/04,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E27267,Preston Lilly,Preston.Lilly@TechCorp.com,8/29/10,Sales Rep,206383,Sales,Jennifer De La Garza,8/29/10,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E29129,Belinda Van Loon,Belinda.Van Loon@TechCorp.com,12/3/07,Sales Rep,118753,Sales,Jennifer De La Garza,12/3/07,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E32359,Jen  Frangias,Jen .Frangias@TechCorp.com,3/24/19,Sales Rep,102779,Sales,Jennifer De La Garza,3/24/19,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E36346,Tyrone Curtis,Tyrone.Curtis@TechCorp.com,6/22/99,Sales Rep,100092,Sales,Jennifer De La Garza,6/22/99,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E37389,Becky Weaver,Becky.Weaver@TechCorp.com,12/8/96,Sales Rep,172479,Sales,Jennifer De La Garza,12/8/96,,HQ,1 Tech ABC Corp Way,Dallas,TX,Masters Degree
E38997,Roseann Clemente,Roseann.Clemente@TechCorp.com,9/21/07,Sales Rep,173887,Sales,Jennifer De La Garza,9/21/07,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E42061,Diana Teppen,Diana.Teppen@TechCorp.com,11/4/13,Sales Rep,212551,Sales,Jennifer De La Garza,11/4/13,,West Coast,705 James Way,San Francisco,CA,Bachelors Degree
E44136,Erica Siegal,Erica.Siegal@TechCorp.com,1/9/02,Sales Rep,70148,Sales,Jennifer De La Garza,1/9/02,,West Coast,705 James Way,San Francisco,CA,Bachelors Degree
E45236,Patti Hoeg,Patti.Hoeg@TechCorp.com,5/29/08,Sales Rep,123476,Sales,Jennifer De La Garza,5/29/08,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E52461,Lena Thorton,Lena.Thorton@TechCorp.com,11/11/14,Sales Rep,196705,Sales,Jennifer De La Garza,11/11/14,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E55855,Parker Williams,Parker.Williams@TechCorp.com,5/20/18,Sales Rep,175296,Sales,Jennifer De La Garza,5/20/18,,East Coast,165 Broadway,New York City,NY,Masters Degree
E56444,Curtis Steward,Curtis.Steward@TechCorp.com,6/10/99,Sales Rep,87817,Sales,Jennifer De La Garza,6/10/99,,East Coast,165 Broadway,New York City,NY,Masters Degree
E60901,Samantha Kramer,Samantha.Kramer@TechCorp.com,1/10/10,Sales Rep,87887,Sales,Jennifer De La Garza,1/10/10,,East Coast,165 Broadway,New York City,NY,Masters Degree
E61614,Elliot Foley,Elliot.Foley@TechCorp.com,7/21/96,Sales Rep,174060,Sales,Jennifer De La Garza,7/21/96,,East Coast,165 Broadway,New York City,NY,Masters Degree
